id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
1361,M11w,Daitetsu,Nishonoseki,Fukui,10/29/56,193,130,35.7230517,139.9683767
1331,M14e,Saganobori,Oshiogawa,Saga,11/27/61,190,117,36.3260317,136.5289653
1378,M9e,Hoo,Nishonoseki,Aichi,12/7/56,180,140,35.7230517,139.9683767
1379,O2eHD,Asashio,Takasago,Kochi,12/9/55,183,169,34.7661005,134.7906014
1366,M12e,Takanomine,Izutsu,Fukuoka,1/23/59,184,102,35.0044519,135.7723814
1345,M13w,Tamaryu,Kataonami,Nagasaki,7/22/54,191,125,34.1801053,135.1744606
1376,M10w,Hananoumi,Hanaregoma,Akita,12/6/60,181,139,34.1801053,135.1744606
1358,M14e,Hoshiiwato,Michinoku,Kagoshima,7/25/55,182,138,39.1362124,141.1499861
1313,M13w,Komafudo,Hanaregoma,Toyama,9/15/67,181,142,39.1362124,141.1499861
1333,M14e,Sasshunada,Izutsu,Kagoshima,6/7/57,183,149,35.0044519,135.7723814
1367,M14e,Fujinoshin,Kokonoe,Chiba,11/6/60,181,147,33.2285239,131.1888843
1356,M13w,Kinoarashi,Oshiogawa,Hokkaido,7/9/61,183,161,36.3260317,136.5289653
1359,M14e,Koboyama,Kumagatani,Miyagi,8/15/57,179,142,36.1471963,139.3889796
1368,M5e,Ryukozan,Dewanoumi,Osaka,6/23/67,185.5,160.2,35.6923601,139.7926487
1364,M12w,Masurao,Oshiogawa,Fukuoka,6/27/61,188,119,36.3260317,136.5289653
1363,O1w,Hokutenyu,Mihogaseki,Hokkaido,8/8/60,183,139,35.4958382,136.9181807
1352,M14e,Tagaryu,Kagamiyama,Ibaraki,2/15/58,178,136,34.4016318,132.7247156
1324,M15e,Daikiko,Musashigawa,Wakayama,9/15/67,184,160,35.7127733,139.8643459
1354,Y2wHD,Chiyonofuji,Kokonoe,Hokkaido,6/1/55,183,126,33.2285239,131.1888843
1353,M14w,Daijuyama,Futagoyama,Niigata,4/8/59,183,158,43.0431112,141.3160186
1350,Y2eHD,Onokuni,Hanaregoma,Hokkaido,10/9/62,189,188,43.0431112,141.3160186
1347,M14e,Itai,Onaruto,Oita,3/21/56,178,139,34.2380131,134.6572762
1348,M15w,Jingaku,Izutsu,Kagoshima,12/24/59,191,148,35.0044519,135.7723814
1335,M15e,Takanofuji,Kokonoe,Tokyo,10/9/63,192,138,33.2285239,131.1888843
1337,M11e,Tochitsukasa,Kasugano,Aichi,4/25/58,180,157,37.1520331,138.2314092
1314,M14e,Owakamatsu,Taiho,Saitama,11/17/66,187,148,40.3226572,-74.6452328
1342,Y1w,Asahifuji,Oshima,Aomori,7/6/60,189,143,34.7408836,139.3856256
1338,M15e,Ozutsu,Taiho,Mie,4/18/56,183,137,40.3226572,-74.6452328
1339,Y1e,Hokutoumi,Kokonoe,Hokkaido,6/22/63,181,150,33.2285239,131.1888843
1334,M14w,Wakasegawa,Isegahama,Yamagata,7/28/62,189,145,32.413809,131.6495062
1332,M15w,Sakahoko,Izutsu,Kagoshima,6/18/61,182,121,35.0044519,135.7723814
1326,M12e,Tsunenoyama,Dewanoumi,Kagoshima,1/29/63,182,117,35.6923601,139.7926487
1319,M15w,Tachihikari,Tomozuna,Chiba,9/12/63,195,152,33.5948329,130.3595555
1330,M11w,Ryogoku,Dewanoumi,Nagasaki,7/30/62,185,178,35.6923601,139.7926487
1317,M15w,Hananokuni,Hanaregoma,Osaka,10/15/59,185,148,35.6923601,139.7926487
1310,M11w,Kirinishiki,Kagamiyama,Gunma,8/31/62,188,180,34.4016318,132.7247156
1305,M16w,Kyokugozan,Oshima,Chiba,9/18/68,182,176,34.7408836,139.3856256
1315,M15w,Enazakura,Oshiogawa,Gifu,7/29/60,181,134,36.3260317,136.5289653
67,M11e,Tochinofuji,Kasugano,Fukuoka,11/15/69,176,189,37.1520331,138.2314092
1306,M16w,Hitachiryu,Oshiogawa,Ibaraki,10/19/69,179,133,36.3260317,136.5289653
157,M13w,Tomoefuji,Kokonoe,Akita,1/27/71,192,151,33.2285239,131.1888843
160,M15e,Tatsuhikari,Tatsunami,Hokkaido,10/25/69,192,183,33.2285239,131.1888843
1309,M9w,Tamakairiki,Kataonami,Tokyo,7/16/66,183,141,34.1801053,135.1744606
1311,M16e,Kototsubaki,Sadogatake,Okinawa,12/6/60,188,141,35.7772605,139.9616965
1307,M10w,Daishoyama,Tatsunami,Ishikawa,7/7/66,181,181,35.7772605,139.9616965
