fighter_name,image_url
Kirishima,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/d5/Eijiro_Kirishima_3rd_Hero_Costume_Action.png/revision/latest?cb=20190927114325
Kasugafuji,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kasugafuji_2009_Sep.JPG
Oginohana,https://upload.wikimedia.org/wikipedia/commons/2/23/Oginohana_2010_Jan.JPG
Wakashoyo,https://static.wikia.nocookie.net/prowrestling/images/2/2d/Wakashoyo.jpg/revision/latest?cb=20190623182219
Naminohana,https://static.wikia.nocookie.net/sumowrestling/images/7/7a/Naminohana-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210403164039
Kyokudozan,https://editorial01.shutterstock.com/wm-preview-1500/7285540a/ff8add72/japan-sumo-tokyo-japan-shutterstock-editorial-7285540a.jpg
Daishoho,http://sumo.or.jp/img/sumo_data/rikishi/270x474/20130002.jpg
Kotobeppu,https://static.wikia.nocookie.net/sumowrestling/images/a/a6/Kotobeppu-main.jpg/revision/latest/scale-to-width-down/250?cb=20210403155547
Misugisato,https://images.our-assets.com/fullcover/2000x/9786132384706.jpg
Daihisho,http://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20120003.jpg
Kenko,https://images-na.ssl-images-amazon.com/images/I/910H0W-vpnL._SL1500_.jpg
Rikio,https://static.wikia.nocookie.net/k-anime/images/2/22/Rikio_Mugshot.png/revision/latest?cb=20121231091436
Konishiki,https://upload.wikimedia.org/wikipedia/commons/4/4b/Konishiki_2015_-_20448402252.jpg
Kushimaumi,https://upload.wikimedia.org/wikipedia/commons/9/9d/Kushimaumi_2010.JPG
Mainoumi,https://upload.wikimedia.org/wikipedia/commons/4/43/Mainoumi_09_Sep.JPG
Yamato,https://upload.wikimedia.org/wikipedia/commons/b/b2/Japanese_battleship_Yamato_running_trials_off_Bungo_Strait%2C_20_October_1941.jpg
Kitakachidoki,http://sumodb.sumogames.de/pics/30.jpg
