id,rank,rikishi,heya,shusshin,birth_date,height,weight
47,M13w,Chiyotenzan,Kokonoe,Osaka,1976-02-06,183.5,138.0
87,M16e,Wakanoyama,Musashigawa,Wakayama,1972-05-12,178.0,164.0
64,M17e,Yotsukasa,Irumagawa,Mie,1973-09-25,177.5,151.5
5,M13e,Takanonami,Takanohana,Aomori,1971-10-27,196.0,163.5
34,M14w,Asanowaka,Takasago,Aichi,1969-12-11,176.0,140.0
145,M17e,Kobo,Miyagino,Kagoshima,1973-08-18,183.0,132.0
43,M12w,Kinkaiyama,Dewanoumi,Nagasaki,1976-01-07,184.0,163.0
6,O2e,Musoyama,Musashigawa,Ibaraki,1972-02-14,184.0,175.0
225,M12w,Takanotsuru,Naruto,Kagoshima,1976-06-18,188.0,174.8
92,M15w,Harunoyama,Matsugane,Aichi,1976-08-02,188.0,177.0
29,M12w,Kotoryu,Sadogatake,Hyogo,1972-03-02,183.0,139.0
129,M14w,Hayateumi,Oitekaze,Aomori,1975-07-05,185.0,118.8
38,M17w,Toki,Takasago,Chiba,1974-07-04,189.0,169.0
71,M10w,Takanowaka,Naruto,Nagasaki,1976-04-02,190.5,148.0
14,M11w,Kotonowaka,Sadogatake,Yamagata,1968-05-15,191.0,174.0
72,M13e,Tochisakae,Kasugano,Saga,1974-06-27,183.0,152.0
99,M15e,Shunketsu,Hanaregoma,Saitama,1976-07-13,177.0,121.0
287,M15w,Wakatoba,Oguruma,Tokyo,1977-06-15,175.5,138.0
105,M15w,Buyuzan,Musashigawa,Aichi,1974-07-29,181.0,164.0
122,M16w,Daimanazuru,Asahiyama,Nara,1977-01-16,188.5,164.5
204,M16e,Ryuho,Michinoku,Okinawa,1977-06-18,183.0,149.0
35,M10e,Kyokushuzan,Oshima,Mongolia,1973-03-08,182.0,139.2
1243,M15w,Katayama,Onomatsu,Shizuoka,1979-09-06,179.0,136.5
113,M15e,Asofuji,Ajigawa,Aomori,1976-01-17,179.0,124.5
96,M16w,Jumonji,Michinoku,Aomori,1976-06-09,185.0,159.0
19,O2w,Tochiazuma,Tamanoi,Tokyo,1976-11-09,180.0,150.2
97,M13w,Tochinohana,Kasugano,Iwate,1973-02-28,184.5,137.6
175,M15e,Ushiomaru,Azumazeki,Shizuoka,1978-05-11,176.0,166.1
50,M7w,Tokitsuumi,Tokitsukaze,Nagasaki,1973-11-08,184.0,132.7
70,M14e,Kitazakura,Kitanoumi,Hiroshima,1971-12-15,189.0,169.0
6766,M13w,Ichihara,Kise,Aichi,1984-08-16,182.0,182.5
40,M14e,Kaiho,Hakkaku,Aomori,1973-04-17,177.0,122.0
924,M15e,Wakakirin,Oguruma,Hyogo,1983-09-21,186.5,133.0
6620,M15w,Sakaizawa,Onoe,Saitama,1983-04-11,189.0,162.5
63,M16e,Otsukasa,Irumagawa,Hyogo,1971-02-18,175.0,147.1
1031,M16w,Ryuo,Miyagino,Mongolia,1983-03-11,176.0,145.1
1402,M15e,Hakurozan,Kitanoumi,Russia,1982-02-06,188.0,133.0
6527,M1w,Wakanoho,Magaki,Russia,1988-07-08,195.0,156.0
17,M11w,Tamakasuga,Kataonami,Ehime,1972-01-07,181.5,151.4
1421,M3w,Roho,Otake,Russia,1980-03-09,192.0,146.0
107,M12w,Kasuganishiki,Kasugano,Chiba,1975-08-22,187.0,147.3
898,M6w,Chiyohakuho,Kokonoe,Kumamoto,1983-04-21,181.5,135.0
31,M13w,Dejima,Musashigawa,Ishikawa,1974-03-21,180.0,160.3
2834,M15w,Futeno,Dewanoumi,Kumamoto,1980-08-28,180.5,157.2
6769,M15e,Yamamotoyama,Onoe,Saitama,1984-05-08,190.0,251.5
878,Y1w,Asashoryu,Takasago,Mongolia,1980-09-27,184.0,148.0
8,S1w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181.0,154.1
1087,M5e,Iwakiyama,Sakaigawa,Aomori,1976-03-02,183.5,171.5
152,M16w,Tamanoshima,Kataonami,Fukushima,1977-09-15,187.0,164.5
876,O2w,Kotomitsuki,Sadogatake,Aichi,1976-04-11,182.0,156.0
2847,M8w,Masatsukasa,Irumagawa,Aomori,1984-06-07,183.0,147.8
1204,M15w,Kakizoe,Musashigawa,Oita,1978-08-12,176.5,138.6
371,M16e,Kyokunankai,Oshima,Kagoshima,1977-12-14,180.0,137.7
13,M16w,Tosanoumi,Isenoumi,Kochi,1972-02-16,186.0,151.1
864,M12w,Bushuyama,Fujishima,Aomori,1976-05-21,191.0,174.0
135,M17e,Hokutoriki,Hakkaku,Tochigi,1977-10-31,182.0,150.0
1018,M11w,Shimotori,Tokitsukaze,Niigata,1978-03-18,188.0,144.0
78,M17e,Toyozakura,Michinoku,Hiroshima,1974-03-12,181.0,134.0
2930,M1w,Tokusegawa,Asahiyama,Mongolia,1983-08-06,189.0,158.0
1011,M7e,Hakuba,Michinoku,Mongolia,1983-05-05,187.0,124.0
865,M10e,Kasugao,Kasugayama,Korea,1977-07-01,183.0,149.0
1106,M11e,Koryu,Hanakago,Mongolia,1984-02-04,186.0,153.0
1136,M12e,Mokonami,Tatsunami,Mongolia,1984-04-05,187.0,150.0
206,M13e,Kotokasuga,Sadogatake,Fukuoka,1977-08-25,182.0,147.0
